case	label	category	baseline_score	score	gain
llama_tulu	functional_top25	prompt_strict	0.6229205175600739	0.6451016635859519	0.02218114602587795
llama_tulu	functional_top25	prompt_loose	0.6728280961182994	0.6950092421441775	0.022181146025878062
llama_tulu	functional_top25	instruction_strict	0.7302158273381295	0.7446043165467626	0.014388489208633115
llama_tulu	functional_top25	instruction_loose	0.7757793764988009	0.7865707434052758	0.010791366906474864
llama_tulu	raw_top25	prompt_strict	0.6229205175600739	0.6266173752310537	0.003696857670979714
llama_tulu	raw_top25	prompt_loose	0.6728280961182994	0.6820702402957486	0.009242144177449174
llama_tulu	raw_top25	instruction_strict	0.7302158273381295	0.7338129496402878	0.003597122302158251
llama_tulu	raw_top25	instruction_loose	0.7757793764988009	0.7793764988009593	0.003597122302158362
llama_tulu	random_top25_seed42	prompt_strict	0.6229205175600739	0.6229205175600739	0.0
llama_tulu	random_top25_seed42	prompt_loose	0.6728280961182994	0.6839186691312384	0.011090573012939031
llama_tulu	random_top25_seed42	instruction_strict	0.7302158273381295	0.7266187050359713	-0.003597122302158251
llama_tulu	random_top25_seed42	instruction_loose	0.7757793764988009	0.7769784172661871	0.0011990407673861947
llama_tulu	matched_random_top25_seed42	prompt_strict	0.6229205175600739	0.6451016635859519	0.02218114602587795
llama_tulu	matched_random_top25_seed42	prompt_loose	0.6728280961182994	0.7060998151571165	0.033271719038817094
llama_tulu	matched_random_top25_seed42	instruction_strict	0.7302158273381295	0.7458033573141487	0.015587529976019199
llama_tulu	matched_random_top25_seed42	instruction_loose	0.7757793764988009	0.7937649880095923	0.017985611510791366
llama_tulu	random_top25_seed43	prompt_strict	0.6229205175600739	0.6321626617375231	0.009242144177449174
llama_tulu	random_top25_seed43	prompt_loose	0.6728280961182994	0.6839186691312384	0.011090573012939031
llama_tulu	random_top25_seed43	instruction_strict	0.7302158273381295	0.7410071942446043	0.010791366906474753
llama_tulu	random_top25_seed43	instruction_loose	0.7757793764988009	0.7865707434052758	0.010791366906474864
llama_tulu	matched_random_top25_seed43	prompt_strict	0.6229205175600739	0.6395563770794824	0.01663585951940849
llama_tulu	matched_random_top25_seed43	prompt_loose	0.6728280961182994	0.6913123844731978	0.01848428835489835
llama_tulu	matched_random_top25_seed43	instruction_strict	0.7302158273381295	0.7338129496402878	0.003597122302158251
llama_tulu	matched_random_top25_seed43	instruction_loose	0.7757793764988009	0.7817745803357314	0.005995203836930529
llama_tulu	random_top25_seed44	prompt_strict	0.6229205175600739	0.6321626617375231	0.009242144177449174
llama_tulu	random_top25_seed44	prompt_loose	0.6728280961182994	0.6913123844731978	0.01848428835489835
llama_tulu	random_top25_seed44	instruction_strict	0.7302158273381295	0.7398081534772182	0.00959232613908867
llama_tulu	random_top25_seed44	instruction_loose	0.7757793764988009	0.7877697841726619	0.011990407673860948
llama_tulu	matched_random_top25_seed44	prompt_strict	0.6229205175600739	0.6284658040665434	0.00554528650646946
