task	variant	formal_score	repeat_score	delta
magicoder	base	0.524390243902439	0.524390243902439	0.0
magicoder	commonsense__common_hns	0.45121951219512196	0.45121951219512196	0.0
magicoder	commonsense__common_lora	0.22560975609756098	0.22560975609756098	0.0
magicoder	commonsense__common_per_module	0.43902439024390244	0.43902439024390244	0.0
magicoder	commonsense__original_hns	0.4573170731707317	0.4573170731707317	0.0
magicoder	commonsense__original_lora	0.23170731707317074	0.23170731707317074	0.0
magicoder	magicoder__common_hns	0.5304878048780488	0.5304878048780488	0.0
magicoder	magicoder__common_lora	0.5426829268292683	0.5426829268292683	0.0
magicoder	magicoder__common_per_module	0.5609756097560976	0.5609756097560976	0.0
magicoder	magicoder__original_hns	0.5426829268292683	0.5426829268292683	0.0
magicoder	magicoder__original_lora	0.5365853658536586	0.5365853658536586	0.0
magicoder	metamath__common_hns	0.6158536585365854	0.6158536585365854	0.0
magicoder	metamath__common_lora	0.5487804878048781	0.5487804878048781	0.0
magicoder	metamath__common_per_module	0.5426829268292683	0.5426829268292683	0.0
magicoder	metamath__original_hns	0.6036585365853658	0.6036585365853658	0.0
magicoder	metamath__original_lora	0.5426829268292683	0.5426829268292683	0.0
magicoder	tulu__common_hns	0.6219512195121951	0.6219512195121951	0.0
magicoder	tulu__common_lora	0.6219512195121951	0.6219512195121951	0.0
magicoder	tulu__common_per_module	0.6280487804878049	0.6280487804878049	0.0
magicoder	tulu__original_hns	0.6280487804878049	0.6280487804878049	0.0
magicoder	tulu__original_lora	0.6341463414634146	0.6341463414634146	0.0
metamath	base	0.6239575435936315	0.6239575435936315	0.0
metamath	commonsense__common_hns	0.05913570887035633	0.05913570887035633	0.0
metamath	commonsense__common_lora	0.0	0.0	0.0
metamath	commonsense__common_per_module	0.002274450341167551	0.002274450341167551	0.0
metamath	commonsense__original_hns	0.0576194086429113	0.0576194086429113	0.0
metamath	commonsense__original_lora	0.0	0.0	0.0
metamath	magicoder__common_hns	0.6360879454131918	0.6360879454131918	0.0
metamath	magicoder__common_lora	0.5640636846095527	0.5640636846095527	0.0
metamath	magicoder__common_per_module	0.6292645943896892	0.6292645943896892	0.0
