case	label	category	baseline_score	score	gain
qwen_commonsense	functional_top25	boolq	0.8804281345565749	0.8837920489296636	0.0033639143730886945
qwen_commonsense	functional_top25	piqa	0.9009793253536452	0.9031556039173014	0.0021762785636562088
qwen_commonsense	functional_top25	siqa	0.823439099283521	0.8249744114636642	0.0015353121801432446
qwen_commonsense	functional_top25	hellaswag	0.9425413264289982	0.9423421629157538	-0.00019916351324444914
qwen_commonsense	functional_top25	winogrande	0.8950276243093923	0.8966061562746646	0.0015785319652722452
qwen_commonsense	functional_top25	arc_easy	0.9713804713804713	0.9739057239057239	0.002525252525252597
qwen_commonsense	functional_top25	arc_challenge	0.9146757679180887	0.9104095563139932	-0.00426621160409546
qwen_commonsense	functional_top25	openbookqa	0.934	0.93	-0.0040000000000000036
qwen_commonsense	raw_top25	boolq	0.8804281345565749	0.8840978593272171	0.003669724770642202
qwen_commonsense	raw_top25	piqa	0.9009793253536452	0.9026115342763874	0.0016322089227421843
qwen_commonsense	raw_top25	siqa	0.823439099283521	0.823439099283521	0.0
qwen_commonsense	raw_top25	hellaswag	0.9425413264289982	0.941346345349532	-0.0011949810794662508
qwen_commonsense	raw_top25	winogrande	0.8950276243093923	0.8950276243093923	0.0
qwen_commonsense	raw_top25	arc_easy	0.9713804713804713	0.9730639730639731	0.0016835016835017313
qwen_commonsense	raw_top25	arc_challenge	0.9146757679180887	0.9146757679180887	0.0
qwen_commonsense	raw_top25	openbookqa	0.934	0.93	-0.0040000000000000036
qwen_commonsense	random_top25_seed42	boolq	0.8804281345565749	0.8847094801223242	0.004281345565749328
qwen_commonsense	random_top25_seed42	piqa	0.9009793253536452	0.9047878128400435	0.003808487486398282
qwen_commonsense	random_top25_seed42	siqa	0.823439099283521	0.8224155578300921	-0.0010235414534288667
qwen_commonsense	random_top25_seed42	hellaswag	0.9425413264289982	0.9417446723760207	-0.0007966540529775745
qwen_commonsense	random_top25_seed42	winogrande	0.8950276243093923	0.89344909234412	-0.0015785319652723562
