case	label	category	baseline_score	score	gain
qwen_magicoder	functional_top25	humaneval	0.774390243902439	0.7682926829268293	-0.0060975609756097615
qwen_magicoder	functional_top25	mbpp	0.7198443579766537	0.7159533073929961	-0.0038910505836575737
qwen_magicoder	raw_top25	humaneval	0.774390243902439	0.774390243902439	0.0
qwen_magicoder	raw_top25	mbpp	0.7198443579766537	0.7159533073929961	-0.0038910505836575737
qwen_magicoder	random_top25_seed42	humaneval	0.774390243902439	0.7865853658536586	0.012195121951219523
qwen_magicoder	random_top25_seed42	mbpp	0.7198443579766537	0.7276264591439688	0.0077821011673151474
qwen_magicoder	matched_random_top25_seed42	humaneval	0.774390243902439	0.7560975609756098	-0.018292682926829285
qwen_magicoder	matched_random_top25_seed42	mbpp	0.7198443579766537	0.7042801556420234	-0.015564202334630295
qwen_magicoder	random_top25_seed43	humaneval	0.774390243902439	0.7865853658536586	0.012195121951219523
qwen_magicoder	random_top25_seed43	mbpp	0.7198443579766537	0.7392996108949417	0.01945525291828798
qwen_magicoder	matched_random_top25_seed43	humaneval	0.774390243902439	0.7804878048780488	0.0060975609756097615
qwen_magicoder	matched_random_top25_seed43	mbpp	0.7198443579766537	0.7042801556420234	-0.015564202334630295
qwen_magicoder	random_top25_seed44	humaneval	0.774390243902439	0.7682926829268293	-0.0060975609756097615
qwen_magicoder	random_top25_seed44	mbpp	0.7198443579766537	0.7237354085603113	0.0038910505836575737
qwen_magicoder	matched_random_top25_seed44	humaneval	0.774390243902439	0.7621951219512195	-0.012195121951219523
qwen_magicoder	matched_random_top25_seed44	mbpp	0.7198443579766537	0.7120622568093385	-0.0077821011673151474
qwen_magicoder	functional_top50	humaneval	0.774390243902439	0.8170731707317073	0.04268292682926822
qwen_magicoder	functional_top50	mbpp	0.7198443579766537	0.7354085603112841	0.015564202334630406
qwen_magicoder	raw_top50	humaneval	0.774390243902439	0.8109756097560976	0.03658536585365857
qwen_magicoder	raw_top50	mbpp	0.7198443579766537	0.7276264591439688	0.0077821011673151474
qwen_magicoder	random_top50_seed42	humaneval	0.774390243902439	0.8048780487804879	0.030487804878048808
qwen_magicoder	random_top50_seed42	mbpp	0.7198443579766537	0.7237354085603113	0.0038910505836575737
qwen_magicoder	matched_random_top50_seed42	humaneval	0.774390243902439	0.7682926829268293	-0.0060975609756097615
qwen_magicoder	matched_random_top50_seed42	mbpp	0.7198443579766537	0.7120622568093385	-0.0077821011673151474
qwen_magicoder	random_top50_seed43	humaneval	0.774390243902439	0.7682926829268293	-0.0060975609756097615
qwen_magicoder	random_top50_seed43	mbpp	0.7198443579766537	0.7276264591439688	0.0077821011673151474
qwen_magicoder	matched_random_top50_seed43	humaneval	0.774390243902439	0.7682926829268293	-0.0060975609756097615
qwen_magicoder	matched_random_top50_seed43	mbpp	0.7198443579766537	0.7198443579766537	0.0
qwen_magicoder	random_top50_seed44	humaneval	0.774390243902439	0.7865853658536586	0.012195121951219523
qwen_magicoder	random_top50_seed44	mbpp	0.7198443579766537	0.7237354085603113	0.0038910505836575737
qwen_magicoder	matched_random_top50_seed44	humaneval	0.774390243902439	0.7682926829268293	-0.0060975609756097615
qwen_magicoder	matched_random_top50_seed44	mbpp	0.7198443579766537	0.7315175097276264	0.011673151750972721
